
***             Voronoi Diagram k = 2444         ***
index	sx	sy	ls	mi
      596	    415	    160	      4.47	  1.77e+09
      597	    412	    157	      4.12	  1.16e+09
      598	    419	    149	      3.32	  7.29e+08
      599	    430	    195	      6.24	  1.15e+09
      600	    414	    187	      4.47	   1.2e+09
      601	    414	    191	      4.58	  1.08e+09
      602	    407	    191	      6.78	  7.58e+08
      603	    419	    207	      5.57	  1.14e+09
      604	    421	    202	       4.8	  1.21e+09
      605	    409	    209	      5.74	  1.22e+09
      606	    410	    215	      6.48	  1.18e+09
      607	    400	    213	      5.29	  9.49e+08
      608	    402	    205	      6.86	  7.92e+08
      609	    375	    181	      3.87	  6.77e+08
      610	    375	    185	      5.39	  6.11e+08
      611	    371	    190	      5.74	  5.95e+08
      612	    368	    185	      4.69	  5.59e+08
      613	    371	    179	      4.69	   3.5e+08
      614	    367	    192	       4.8	  6.36e+08
      615	    353	    184	      7.81	  1.98e+08
      616	    365	    188	         4	   6.1e+08
      617	    417	    136	      8.83	  2.07e+08
      618	    417	    145	      4.24	  3.85e+08
      619	    409	    150	       5.2	  4.23e+08
      620	    404	    145	      6.32	  2.37e+08
      621	    403	    135	      11.7	  1.82e+08
      622	    407	    121	      24.1	  1.56e+08
      623	    404	    155	      4.47	  5.36e+08
      624	    401	    159	      4.47	  6.35e+08
      625	    396	    158	      4.69	  3.76e+08
      626	    398	    151	      5.29	  2.56e+08
      627	    400	    147	      5.74	   2.3e+08
      628	    356	    223	      7.55	  7.14e+08
      629	    361	    228	      6.16	  8.44e+08
      630	    354	    243	       4.8	  1.01e+09
      631	    350	    251	         4	  1.08e+09
      632	    348	    236	      7.21	  9.06e+08
      633	    345	    259	      3.74	  1.31e+09
      634	    340	    270	      3.61	  1.93e+09
