
*** Voronoi Diagram Neighbours k = 774 ***
Seed	Neighbours
N774(585)	{ 619 589 93 586 656 655 590 }
N774(586)	{ 94 93 102 4 655 585 654 }
N774(587)	{ 251 252 94 99 619 588 93 }
N774(588)	{ 99 587 619 639 620 203 }
N774(589)	{ 585 619 638 620 590 }
N774(590)	{ 638 589 618 656 585 612 }
N774(591)	{ 580 592 581 728 235 317 }
N774(592)	{ 581 582 591 124 316 317 }
N774(593)	{ 413 596 476 477 }
N774(594)	{ 351 256 622 350 615 }
N774(595)	{ 271 270 272 670 669 478 }
N774(596)	{ 476 593 597 478 477 }
N774(597)	{ 596 478 671 477 670 }
N774(598)	{ 98 83 97 278 96 }
N774(599)	{ 147 329 602 133 132 }
